LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1766806125.988474,81559.000,11352,1,T1,1,100,25.419
1766806320.961584,81692.000,11369,1,T1,1,100,25.430
1766806515.934694,81825.000,11390,1,T1,1,100,25.434
1766806712.373768,81959.000,11421,1,T1,1,100,25.365
1766806907.346878,82092.000,11438,1,T1,1,100,25.406
1766807102.319989,82225.000,11455,1,T1,1,100,25.424
1766807298.759062,82359.000,11486,1,T1,1,100,25.361
1766807493.732173,82492.000,11504,1,T1,1,100,25.511
1766807688.705283,82625.000,11520,1,T1,1,100,25.505
1766807885.144357,82759.000,11552,1,T1,1,100,25.360
1766808080.117467,82892.000,11569,1,T1,1,100,25.333
1766808275.090577,83025.000,11585,1,T1,1,100,25.499
1766808471.529651,83159.000,11617,1,T1,1,100,25.393
1766808666.502761,83292.000,11634,1,T1,1,100,25.418
1766808861.475872,83425.000,11650,1,T1,1,100,25.429
1766809056.448982,83558.000,11668,1,T1,1,100,25.363
1766809252.888056,83692.000,11699,1,T1,1,100,25.476
1766809447.861166,83825.000,11716,1,T1,1,100,25.561
1766809642.834277,83958.000,11733,1,T1,1,100,25.455
1766809839.273350,84092.000,11765,1,T1,1,100,25.516
1766810034.246461,84225.000,11781,1,T1,1,100,25.613
1766810229.219571,84358.000,11798,1,T1,1,100,25.478
1766810425.658645,84492.000,11830,1,T1,1,100,25.491
1766810620.631755,84625.000,11846,1,T1,1,100,25.602
1766810815.604865,84758.000,11863,1,T1,1,100,25.509
