LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1766787844.948034,119348.000,17408,3,MY,1,100,-5
1766787844.988034,119388.000,17424,2,MY,1,100,-5
1766787845.028034,119428.000,17424,2,MY,1,100,-6
1766787845.063367,119463.333,17442,3,MY,1,100,-5
1766787845.098701,119498.667,17442,3,MY,1,100,-5
1766787845.134034,119534.000,17442,3,MY,1,100,-5
1766787845.174034,119574.000,17456,3,MY,1,100,-5
1766787845.214034,119614.000,17456,3,MY,1,100,-5
1766787845.254034,119654.000,17456,3,MY,1,100,-6
1766787845.294034,119694.000,17473,2,MY,1,100,-5
1766787845.334034,119734.000,17473,2,MY,1,100,-5
1766787845.374034,119774.000,17490,3,MY,1,100,-5
1766787845.414034,119814.000,17490,3,MY,1,100,-5
1766787845.454034,119854.000,17490,3,MY,1,100,-5
1766787845.494034,119894.000,17507,2,MY,1,100,-5
1766787845.534034,119934.000,17507,2,MY,1,100,-6
1766787845.574034,119974.000,17521,3,MY,1,100,-6
1766787845.614034,120014.000,17521,3,MY,1,100,-6
1766787845.654034,120054.000,17521,3,MY,1,100,-6
1766787845.694034,120094.000,17539,3,MY,1,100,-5
1766787845.734034,120134.000,17539,3,MY,1,100,-5
1766787845.774034,120174.000,17539,3,MY,1,100,-6
1766787845.814034,120214.000,17557,2,MY,1,100,-5
1766787845.854034,120254.000,17557,2,MY,1,100,-5
1766787845.889368,120289.333,17576,3,MY,1,100,-5
1766787845.924701,120324.667,17576,3,MY,1,100,-5
1766787845.960034,120360.000,17576,3,MY,1,100,-6
1766787846.000034,120400.000,17591,2,MY,1,100,-6
1766787846.040034,120440.000,17591,2,MY,1,100,-5
1766787846.080034,120480.000,17608,3,MY,1,100,-5
1766787846.120034,120520.000,17608,3,MY,1,100,-5
1766787846.160034,120560.000,17608,3,MY,1,100,-5
1766787846.200034,120600.000,17624,3,MY,1,100,-6
1766787846.240034,120640.000,17624,3,MY,1,100,-5
1766787846.280034,120680.000,17624,3,MY,1,100,-5
1766787846.320034,120720.000,17641,2,MY,1,100,-5
1766787846.360034,120760.000,17641,2,MY,1,100,-5
1766787846.400034,120800.000,17658,3,MY,1,100,-5
1766787846.440034,120840.000,17658,3,MY,1,100,-6
1766787846.480034,120880.000,17658,3,MY,1,100,-5
1766787846.520034,120920.000,17673,2,MY,1,100,-5
1766787846.560034,120960.000,17673,2,MY,1,100,-5
1766787846.600034,121000.000,17689,3,MY,1,100,-5
