LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1766715437.904847,21961.000,1521,3,MZ,1,100,14
1766715437.944847,22001.000,1521,3,MZ,1,100,15
1766715437.984847,22041.000,1538,2,MZ,1,100,15
1766715438.024847,22081.000,1538,2,MZ,1,100,15
1766715438.064847,22121.000,1557,3,MZ,1,100,15
1766715438.104847,22161.000,1557,3,MZ,1,100,14
1766715438.144847,22201.000,1557,3,MZ,1,100,14
1766715438.184847,22241.000,1573,2,MZ,1,100,14
1766715438.224847,22281.000,1573,2,MZ,1,100,12
1766715438.264847,22321.000,1588,3,MZ,1,100,12
1766715438.304847,22361.000,1588,3,MZ,1,100,11
1766715438.344847,22401.000,1588,3,MZ,1,100,11
1766715438.384847,22441.000,1605,2,MZ,1,100,10
1766715438.424847,22481.000,1605,2,MZ,1,100, 9
1766715438.464847,22521.000,1622,3,MZ,1,100, 5
1766715438.504847,22561.000,1622,3,MZ,1,100, 2
1766715438.544847,22601.000,1622,3,MZ,1,100, 0
1766715438.580180,22636.333,1638,3,MZ,1,100,-2
1766715438.615514,22671.667,1638,3,MZ,1,100,-6
1766715438.650847,22707.000,1638,3,MZ,1,100,-9
1766715438.690847,22747.000,1654,2,MZ,1,100,-11
1766715438.730847,22787.000,1654,2,MZ,1,100,-12
1766715438.770847,22827.000,1670,3,MZ,1,100,-14
1766715438.810847,22867.000,1670,3,MZ,1,100,-17
1766715438.850847,22907.000,1670,3,MZ,1,100,-19
1766715438.890847,22947.000,1687,2,MZ,1,100,-20
1766715438.930847,22987.000,1687,2,MZ,1,100,-23
1766715438.970847,23027.000,1704,3,MZ,1,100,-24
1766715439.010847,23067.000,1704,3,MZ,1,100,-25
