LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1766633910.715347,48585.000,5825,2,PR,1,100,147904
1766633910.755343,48625.000,5825,2,PR,1,100,147975
1766633910.795340,48665.000,5840,3,PR,1,100,148175
1766633910.835337,48705.000,5840,3,PR,1,100,148434
1766633910.875334,48745.000,5840,3,PR,1,100,148592
1766633910.915330,48785.000,5857,2,PR,1,100,148708
1766633910.955327,48825.000,5857,2,PR,1,100,148772
1766633910.995324,48865.000,5873,3,PR,1,100,148614
1766633911.035321,48905.000,5873,3,PR,1,100,148387
1766633911.075318,48945.000,5873,3,PR,1,100,148347
1766633911.115314,48985.000,5890,2,PR,1,100,148401
1766633911.155311,49025.000,5890,2,PR,1,100,148439
1766633911.195308,49065.000,5905,3,PR,1,100,148531
1766633911.235305,49105.000,5905,3,PR,1,100,148555
1766633911.275301,49145.000,5905,3,PR,1,100,148616
1766633911.315298,49185.000,5922,3,PR,1,100,148699
1766633911.355295,49225.000,5922,3,PR,1,100,148758
1766633911.395292,49265.000,5922,3,PR,1,100,148892
1766633911.435288,49305.000,5938,2,PR,1,100,149021
1766633911.475285,49345.000,5938,2,PR,1,100,148992
1766633911.515282,49385.000,5956,3,PR,1,100,148981
1766633911.555279,49425.000,5956,3,PR,1,100,149024
1766633911.595276,49465.000,5956,3,PR,1,100,149091
1766633911.635272,49505.000,5970,2,PR,1,100,149121
1766633911.675269,49545.000,5970,2,PR,1,100,149191
1766633911.715266,49585.000,5992,3,PR,1,100,149234
1766633911.755263,49625.000,5992,3,PR,1,100,149175
1766633911.795259,49665.000,5992,3,PR,1,100,148958
1766633911.835256,49705.000,6009,2,PR,1,100,148657
1766633911.875253,49745.000,6009,2,PR,1,100,148562
1766633911.915250,49785.000,6026,3,PR,1,100,148633
1766633911.955246,49825.000,6026,3,PR,1,100,148659
1766633911.995243,49865.000,6026,3,PR,1,100,148632
1766633912.035240,49905.000,6040,2,PR,1,100,148706
1766633912.075237,49945.000,6040,2,PR,1,100,148826
1766633912.115233,49985.000,6057,3,PR,1,100,148865
1766633912.155230,50025.000,6057,3,PR,1,100,148864
1766633912.195227,50065.000,6057,3,PR,1,100,148870
1766633912.235224,50105.000,6074,2,PR,1,100,148912
1766633912.275221,50145.000,6074,2,PR,1,100,148920
1766633912.315217,50185.000,6091,3,PR,1,100,148962
1766633912.355214,50225.000,6091,3,PR,1,100,149021
