LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1766863795.362855,55842.000,7157,1,TH,1,100,27.122
1766863795.495937,55975.000,7173,1,TH,1,100,27.129
1766863795.630020,56109.000,7192,1,TH,1,100,27.173
1766863795.763102,56242.000,7226,1,TH,1,100,27.173
1766863795.896184,56375.000,7242,1,TH,1,100,27.233
1766863796.030266,56509.000,7260,1,TH,1,100,27.232
1766863796.163348,56642.000,7291,1,TH,1,100,27.229
1766863796.296430,56775.000,7307,1,TH,1,100,27.229
1766863796.430512,56909.000,7325,1,TH,1,100,27.132
1766863796.563594,57042.000,7358,1,TH,1,100,27.132
1766863796.696676,57175.000,7375,1,TH,1,100,27.214
1766863796.831759,57310.000,7392,1,TH,1,100,27.214
1766863796.969845,57448.000,7424,1,TH,1,100,27.125
1766863797.103927,57582.000,7440,1,TH,1,100,27.125
1766863797.237009,57715.000,7459,1,TH,1,100,27.174
1766863797.370091,57848.000,7493,1,TH,1,100,27.174
1766863797.504174,57982.000,7509,1,TH,1,100,27.129
1766863797.637255,58115.000,7526,1,TH,1,100,27.129
1766863797.770337,58248.000,7558,1,TH,1,100,27.134
1766863797.904420,58382.000,7574,1,TH,1,100,27.134
1766863798.037502,58515.000,7592,1,TH,1,100,27.156
1766863798.170584,58648.000,7608,1,TH,1,100,27.156
1766863798.304666,58782.000,7640,1,TH,1,100,27.227
1766863798.437748,58915.000,7657,1,TH,1,100,27.227
1766863798.570830,59048.000,7673,1,TH,1,100,27.243
1766863798.704913,59182.000,7705,1,TH,1,100,27.236
1766863798.837995,59315.000,7722,1,TH,1,100,27.207
1766863798.971076,59448.000,7738,1,TH,1,100,27.207
1766863799.105159,59582.000,7772,1,TH,1,100,27.222
1766863799.238241,59715.000,7789,1,TH,1,100,27.229
1766863799.371323,59848.000,7808,1,TH,1,100,27.254
1766863799.505405,59982.000,7841,1,TH,1,100,27.254
1766863799.638487,60115.000,7858,1,TH,1,100,27.249
1766863799.771569,60248.000,7875,1,TH,1,100,27.249
1766863799.904651,60381.000,7908,1,TH,1,100,27.147
1766863800.038733,60515.000,7926,1,TH,1,100,27.154
1766863800.171815,60648.000,7942,1,TH,1,100,27.165
1766863800.304897,60781.000,7974,1,TH,1,100,27.165
1766863800.438980,60915.000,7991,1,TH,1,100,27.145
1766863800.572062,61048.000,8009,1,TH,1,100,27.152
1766863800.705144,61181.000,8027,1,TH,1,100,27.146
1766863800.839226,61315.000,8060,1,TH,1,100,27.146
1766863800.972308,61448.000,8076,1,TH,1,100,27.246
1766863801.105390,61581.000,8094,1,TH,1,100,27.246
1766863801.239473,61715.000,8127,1,TH,1,100,27.206
1766863801.372555,61848.000,8144,1,TH,1,100,27.206
1766863801.505636,61981.000,8161,1,TH,1,100,27.188
1766863801.639719,62115.000,8193,1,TH,1,100,27.195
1766863801.772801,62248.000,8209,1,TH,1,100,27.249
1766863801.905883,62381.000,8228,1,TH,1,100,27.249
1766863802.039965,62515.000,8260,1,TH,1,100,27.088
1766863802.173047,62648.000,8276,1,TH,1,100,27.088
1766863802.306129,62781.000,8293,1,TH,1,100,27.086
1766863802.440212,62915.000,8325,1,TH,1,100,27.086
1766863802.573294,63048.000,8341,1,TH,1,100,27.097
1766863802.706376,63181.000,8359,1,TH,1,100,27.097
1766863802.840458,63315.000,8390,1,TH,1,100,27.259
1766863802.973540,63448.000,8407,1,TH,1,100,27.252
1766863803.106622,63581.000,8426,1,TH,1,100,27.303
1766863803.240705,63715.000,8442,1,TH,1,100,27.289
1766863803.373786,63848.000,8476,1,TH,1,100,27.285
1766863803.506868,63981.000,8493,1,TH,1,100,27.299
