device_id,recorded_at,value
MD-V6-0000547,2025-12-27 19:35:30.015853+00,101.91
MD-V6-0000547,2025-12-27 19:35:31.669871+00,87.39
MD-V6-0000547,2025-12-27 19:35:32.95066+00,78.39
MD-V6-0000547,2025-12-27 19:35:34.110373+00,72.46
MD-V6-0000547,2025-12-27 19:35:34.550645+00,86.66
MD-V6-0000547,2025-12-27 19:35:34.990916+00,97.71
MD-V6-0000547,2025-12-27 19:35:35.391162+00,109.33
MD-V6-0000547,2025-12-27 19:35:37.205279+00,92.44
MD-V6-0000547,2025-12-27 19:35:39.213515+00,78.56
MD-V6-0000547,2025-12-27 19:35:39.733835+00,86.75
MD-V6-0000547,2025-12-27 19:35:40.29418+00,91.28
MD-V6-0000547,2025-12-27 19:35:40.8145+00,96.64
MD-V6-0000547,2025-12-27 19:35:41.334821+00,100.8
MD-V6-0000547,2025-12-27 19:35:42.095289+00,95.95
MD-V6-0000547,2025-12-27 19:35:44.662869+00,79.83
MD-V6-0000547,2025-12-27 19:35:45.236222+00,85.9
MD-V6-0000547,2025-12-27 19:35:45.99669+00,84.36
MD-V6-0000547,2025-12-27 19:35:48.158021+00,71.78
MD-V6-0000547,2025-12-27 19:35:51.613147+00,59.71
MD-V6-0000547,2025-12-27 19:35:53.654404+00,52.97
MD-V6-0000547,2025-12-27 19:35:56.028866+00,46.85
MD-V6-0000547,2025-12-27 19:35:56.629235+00,58.66
MD-V6-0000547,2025-12-27 19:35:57.389703+00,63.17
MD-V6-0000547,2025-12-27 19:35:58.750541+00,58.94
MD-V6-0000547,2025-12-27 19:35:59.524017+00,63.38
MD-V6-0000547,2025-12-27 19:35:59.884239+00,86.34
MD-V6-0000547,2025-12-27 19:36:00.964904+00,79.5
MD-V6-0000547,2025-12-27 19:36:01.205052+00,117.39
MD-V6-0000547,2025-12-27 19:36:02.085594+00,106.45
MD-V6-0000547,2025-12-27 19:36:03.08621+00,96.13
MD-V6-0000547,2025-12-27 19:36:04.179883+00,87.11
MD-V6-0000547,2025-12-27 19:36:04.980376+00,84.42
MD-V6-0000547,2025-12-27 19:36:06.381238+00,75.18
MD-V6-0000547,2025-12-27 19:36:07.500927+00,70.38
MD-V6-0000547,2025-12-27 19:36:09.035872+00,63.51
MD-V6-0000547,2025-12-27 19:36:09.636242+00,71.62
MD-V6-0000547,2025-12-27 19:36:10.236611+00,77.93
MD-V6-0000547,2025-12-27 19:36:11.477375+00,71.36
MD-V6-0000547,2025-12-27 19:36:11.95667+00,83.28
MD-V6-0000547,2025-12-27 19:36:12.55704+00,87
MD-V6-0000547,2025-12-27 19:36:13.07736+00,93.31
MD-V6-0000547,2025-12-27 19:36:13.571664+00,100.35
MD-V6-0000547,2025-12-27 19:36:14.525251+00,91.94
MD-V6-0000547,2025-12-27 19:36:15.085596+00,95.32
MD-V6-0000547,2025-12-27 19:36:16.219294+00,86.04
MD-V6-0000547,2025-12-27 19:36:16.861689+00,87.75
MD-V6-0000547,2025-12-27 19:36:17.299959+00,98.56
MD-V6-0000547,2025-12-27 19:36:18.020403+00,95.17
MD-V6-0000547,2025-12-27 19:36:18.820895+00,90.69
MD-V6-0000547,2025-12-27 19:36:19.309196+00,98.31
MD-V6-0000547,2025-12-27 19:36:21.628624+00,82.21
